,,,,,,,
Customer_Segment,AVERAGE of SUM of total_line_value,AVERAGE of M_Score,COUNTA of customer_id,SUM of SUM of total_line_value,,,
REGENCY CAKE FORK,-12,,,,,,
YOU'RE CONFUSING ME METAL SIGN,-12,,,,,,
JUMBO BAG RED RETROSPOT,-10,,,,,,
LUNCH BAG VINTAGE DOILY,-10,,,,,,
CHARLOTTE BAG PINK POLKADOT,-9,,,,,,
BLUE POLKADOT CUP,-8,,,,,,
DAIRY MAID STRIPE MUG,-8,,,,,,
RECYCLING BAG RETROSPOT,-8,,,,,,
RED VINTAGE SPOT BEAKER,-8,,,,,,
15CM CHRISTMAS GLASS BALL 20 LIGHTS,-7,,,,,,
EMPIRE TISSUE BOX,-7,,,,,,
RECIPE BOX PANTRY YELLOW DESIGN,-7,,,,,,
6 RIBBONS RUSTIC CHARM,-6,,,,,,
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,-6,,,,,,
BAKING SET 9 PIECE RETROSPOT,-6,,,,,,
BEADED PEARL HEART WHITE ON STICK,-6,,,,,,
BLUE FLOCK GLASS CANDLEHOLDER,-6,,,,,,
DIAMANTE HAIR GRIP PACK/2 PERIDOT,-6,,,,,,
DRAWER KNOB CRACKLE GLAZE IVORY,-6,,,,,,
GOLD MUG BONE CHINA TREE OF LIFE,-6,,,,,,
METAL MERRY CHRISTMAS WREATH,-6,,,,,,
NECKLACE+BRACELET PINK BUTTERFLY,-6,,,,,,
PACK 3 BOXES CHRISTMAS PANETTONE,-6,,,,,,
PAPER BUNTING PAISLEY PARK,-6,,,,,,
RED RETROSPOT PEG BAG,-6,,,,,,
TREASURE ISLAND BOOK BOX,-6,,,,,,
ROUND SNACK BOXES SET OF 4 FRUITS,-5,,,,,,
SILVER HANGING T-LIGHT HOLDER,-5,,,,,,
CITRONELLA CANDLE GARDEN POT,-4,,,,,,
FRYING PAN RED RETROSPOT,-4,,,,,,
RABBIT NIGHT LIGHT,-4,,,,,,
ROSE COLOUR PAIR HEART HAIR SLIDES,-4,,,,,,
VINTAGE RED ENAMEL TRIM JUG,-4,,,,,,
ALARM CLOCK BAKELIKE RED,-3,,,,,,
CUPBOARD 3 DRAWER MA CAMPAGNE,-3,,,,,,
Discount,-3,,,,,,
ENAMEL BREAD BIN CREAM,-3,,,,,,
JAM JAR WITH PINK LID,-3,,,,,,
NATURAL SLATE CHALKBOARD LARGE,-3,,,,,,
NOVELTY BISCUITS CAKE STAND 3 TIER,-3,,,,,,
RECIPE BOX BLUE SKETCHBOOK DESIGN,-3,,,,,,
REGENCY TEA PLATE ROSES,-3,,,,,,
SILVER GLASS T-LIGHT SET,-3,,,,,,
STRAWBERRY CERAMIC TRINKET BOX,-3,,,,,,
12 PENCIL SMALL TUBE WOODLAND,-2,,,,,,
3 HOOK PHOTO SHELF ANTIQUE WHITE,-2,,,,,,
3 TIER CAKE TIN GREEN AND CREAM,-2,,,,,,
ANTIQUE HEART SHELF UNIT,-2,,,,,,
CARD HOLDER GINGHAM HEART,-2,,,,,,
CERAMIC CAKE STAND + HANGING CAKES,-2,,,,,,
COTTON APRON PANTRY DESIGN,-2,,,,,,
CREAM SWEETHEART MAGAZINE RACK,-2,,,,,,
DAIRY MAID TRADITIONAL TEAPOT,-2,,,,,,
DOORMAT ENGLISH ROSE,-2,,,,,,
FAMILY PHOTO FRAME CORNICE,-2,,,,,,
GLASS CLOCHE SMALL,-2,,,,,,
GUMBALL COAT RACK,-2,,,,,,
HOME SWEET HOME BLACKBOARD,-2,,,,,,
LANTERN CREAM GAZEBO,-2,,,,,,
MULTICOLOUR SPRING FLOWER MUG,-2,,,,,,
PARISIENNE KEY CABINET,-2,,,,,,
SAVOY ART DECO CLOCK,-2,,,,,,
SET OF 6 SNACK LOAF BAKING CASES,-2,,,,,,
SET OF 6 SPICE TINS PANTRY DESIGN,-2,,,,,,
SMALL POPCORN HOLDER,-2,,,,,,
SMALL RED RETROSPOT WINDMILL,-2,,,,,,
STORAGE TIN VINTAGE LEAF,-2,,,,,,
ANTIQUE SILVER T-LIGHT GLASS,-1,,,,,,
ASSORTED TUTTI FRUTTI SMALL PURSE,-1,,,,,,
BLUE STRIPE CERAMIC DRAWER KNOB,-1,,,,,,
CAROUSEL DESIGN WASHBAG,-1,,,,,,
CERAMIC CAKE DESIGN SPOTTED MUG,-1,,,,,,
CERAMIC STRAWBERRY CAKE MONEY BANK,-1,,,,,,
CREAM HEART CARD HOLDER,-1,,,,,,
CRUK Commission,-1,,,,,,
DANISH ROSE ROUND SEWING BOX,-1,,,,,,
DIAMANTE NECKLACE PURPLE,-1,,,,,,
EASTER TIN BUNNY BOUQUET,-1,,,,,,
EMERGENCY FIRST AID TIN,-1,,,,,,
FOOT STOOL HOME SWEET HOME,-1,,,,,,
GLASS HEART T-LIGHT HOLDER,-1,,,,,,
HAND WARMER SCOTTY DOG DESIGN,-1,,,,,,
HANGING HEART ZINC T-LIGHT HOLDER,-1,,,,,,
HANGING METAL STAR LANTERN,-1,,,,,,
IVORY DINER WALL CLOCK,-1,,,,,,
IVORY GIANT GARDEN THERMOMETER,-1,,,,,,
JAM MAKING SET WITH JARS,-1,,,,,,
JUMBO BAG ALPHABET,-1,,,,,,
"KEY FOB , GARAGE DESIGN",-1,,,,,,
KNITTED UNION FLAG HOT WATER BOTTLE,-1,,,,,,
LARGE IVORY HEART WALL ORGANISER,-1,,,,,,
LARGE POPCORN HOLDER,-1,,,,,,
LUNCH BAG BLACK SKULL.,-1,,,,,,
MINI JIGSAW CIRCUS PARADE,-1,,,,,,
MINT KITCHEN SCALES,-1,,,,,,
OCEAN SCENT CANDLE IN JEWELLED BOX,-1,,,,,,
PANTRY MAGNETIC SHOPPING LIST,-1,,,,,,
PARISIENNE SEWING BOX,-1,,,,,,
PLASTERS IN TIN SPACEBOY,-1,,,,,,
RED PAPER PARASOL,-1,,,,,,
RED RETROSPOT BUTTER DISH,-1,,,,,,
RED RETROSPOT CAKE STAND,-1,,,,,,
RED RETROSPOT ROUND CAKE TINS,-1,,,,,,
RELAX LARGE WOOD LETTERS,-1,,,,,,
RETROSPOT TEA SET CERAMIC 11 PC,-1,,,,,,
ROSES REGENCY TEACUP AND SAUCER,-1,,,,,,
SET OF 4 KNICK KNACK TINS LONDON,-1,,,,,,
SET/3 RED GINGHAM ROSE STORAGE BOX,-1,,,,,,
SMALL HEART FLOWERS HOOK,-1,,,,,,
STRAWBERRY LUNCH BOX WITH CUTLERY,-1,,,,,,
SWEET HEART CAKE CARRIER,-1,,,,,,
SWEETHEART CERAMIC TRINKET BOX,-1,,,,,,
TWO DOOR CURIO CABINET,-1,,,,,,
UNION STRIPE CUSHION COVER,-1,,,,,,
WHITE WIRE EGG HOLDER,-1,,,,,,
Grand Total,-1438,,,,,,
,,,,,,,
,,,,,,,
country,SUM of total_line_value,,,,,,
United Kingdom,128837.97,,,,,,
Netherlands,3996.37,,,,,,
Germany,3455.06,,,,,,
France,3091.72,,,,,,
EIRE,3074.53,,,,,,
Australia,1839.12,,,,,,
Spain,891.89,,,,,,
Switzerland,768.69,,,,,,
Belgium,603.38,,,,,,
Portugal,594.59,,,,,,
Japan,593.84,,,,,,
Finland,499.66,,,,,,
Norway,479.8,,,,,,
Sweden,455.24,,,,,,
Cyprus,270.12,,,,,,
Austria,250.1,,,,,,
Italy,239,,,,,,
Channel Islands,229.26,,,,,,
United Arab Emirates,179.1,,,,,,
Denmark,94.74,,,,,,
Poland,93.56,,,,,,
Israel,90.78,,,,,,
Unspecified,76.62,,,,,,
Lebanon,66,,,,,,
Canada,64.2,,,,,,
Lithuania,45,,,,,,
Czech Republic,33.45,,,,,,
USA,22.6,,,,,,
Brazil,19.5,,,,,,
European Community,17.7,,,,,,
Iceland,17,,,,,,
Malta,16.6,,,,,,
Greece,5.04,,,,,,
Grand Total,151012.23,,,,,,
